"nome","telefone"
"Cabeleireiro salão das loiras margarete janaina","5511987082081"
"Studio 92 Beauty & SPA","5511990082507"
"Nayara Alves Studio","5511960420621"
"Edson Cabeleireiros","551135312474"
"Bel Cabeleireira","551156224312"
"GiOlaser Cidade Ademar","551128929770"
"Studio Sousa Beauty 151","5511960422113"
"Rose Studio Hair","551128927896"
"JM Beauty Hair","5511967331542"
"Studio Jessica correia","5511963487053"
"Salão Area Vip","5511965785027"
"Studio M","5511954450736"
"Perfil Cabeleireiros Unissex","5511998976043"
"Luana Sobrancelhas/Cidade Ademar","5511958013352"
"LP House Salon","5511953540812"
"Espaço de Beleza","5511961080514"
"Studio Patricia Beraldo","5511949793488"
"Leuda Stilos Hair","5511953850422"
"NM Hair Style Cabeleireiros","551155644272"
"Espaço Val Designer","5511953029029"
"Studio Cristina Santos","5511983117634"
"Studio Lashes Co.","5511970157787"
"Studio Taty","5511954566877"
"Juliana Souza Espaço Beleza","5511957162752"
"Studio Rodrigues hair","5511959840752"
"Lourdes Depilação","5511989328941"
"Espaço Vip Nail Designer","5511914215714"
"Feemoreiranails","5511949771241"
"Studio Navalha","5511969612177"
"Espaço Dias | NAILS & BEAUTY | Camila","5511989044568"
"Studio Thayná Almeida","5511913327767"
"Studio de beleza Stephanie Felippe","5511964610714"
"Unik nails","5511919459255"
"Studio Yasmin santos","5511954358200"
"Naty belissima","5511951664827"
"Studio Mirella Santana","5511951963568"
"Tina Nails Designer","5511969425769"
"Fênix depilação","5511951595431"
"KR Karina Rodrigues - Nail Designer","5511983488823"
"studio lana selva","5511952771875"
"Studio Brow Art • Sobrancelhas","5511977813660"
"Giovanna Lima Nails","5511972990703"
"Cilios da mary","5511954386218"
"Saavedra Studio","5511992634022"
"Espaço Giovanna Lima","5511912152671"
"Studio Ivana Lima","5511988013694"
"Carol Estrela Clinic","5511999408015"
"Norma Depilação","551156797400"
"Realise Cabelo e Estética","551156233632"
"Espaço Cristina Chaves","5511965407221"
"Vitriné Tattoo & Piercing","5511911632924"
"Studio Cigano Tattoo","5511948051824"
"Aqui tem Tattoo e Piercing I","5511983287670"
"Inkground Tattoo","5511985096883"
"Décio Tattoo","5511979766366"
"SCREAM TATTOO STUDIO","5511957735300"
